ID,Product_Name,UPC_Code,Department_Name,Department_Code,Category,Display_Price,Price_Numeric,Age_Restricted,Age_Restricted_Boolean,Stock_Status,Search_Terms,Tax_Rate,Total Price After Tax
22000019233.0,LIFESAVER GUMMI NEON PEG 7OZ,022000019233,Candy & Snacks,18,Snacks,$3.49 ,3.49,No,False,In Stock,lifesaver gummi neon peg 7oz,8.625,3.79
22000019691.0,STARBURST GUMMI SOUR PEG 5.8OZ,022000019691,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummi sour peg 5 8oz,8.625,3.49
22000019707.0,STARBURST GUMMI ORIG PEG 5.8OZ,022000019707,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummi orig peg 5 8oz,8.625,3.49
22000021748.0,STARBURST DUOS CHEWS SNGL 2.07/24CT,022000021748,Candy & Snacks,18,Snacks,$1.84 ,1.84,No,False,In Stock,starburst duos chews sngl 2 07 24ct,8.625,2.0
22000073815.0,LIFESAVERS GUMMIES EXOTICS 7OZ,022000073815,Candy & Snacks,18,Snacks,$3.49 ,3.49,No,False,In Stock,lifesavers gummies exotics 7oz,8.625,3.79
22000074072.0,LIFESAVER GUMMIES WILDBERRIES 15CT,022000074072,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,lifesaver gummies wildberries 15ct,8.625,3.49
22000076038.0,WRIG 5 MAZE MYSTERY MINT GUM 10CT,022000076038,Candy & Snacks,18,Snacks,$2.53 ,2.53,No,False,In Stock,wrig 5 maze mystery mint gum 10ct,8.625,2.75
22000116024.0,WRIG 5 PRISM WATERMELON 10CT,022000116024,Candy & Snacks,18,Snacks,$2.53 ,2.53,No,False,In Stock,wrig 5 prism watermelon 10ct,8.625,2.75
22000117014.0,WRIG 5 REACT MINT GUM 10CT,022000117014,Candy & Snacks,18,Snacks,$2.53 ,2.53,No,False,In Stock,wrig 5 react mint gum 10ct,8.625,2.75
22000120304.0,LIFESAVER GUMMI COLLISION 7OZ PEG,022000120304,Candy & Snacks,18,Snacks,$3.49 ,3.49,No,False,In Stock,lifesaver gummi collision 7oz peg,8.625,3.79
22000159311.0,ALTOIDS SPEARMINT TIN 12CT,022000159311,Candy & Snacks,18,Snacks,$3.68 ,3.68,No,False,In Stock,altoids spearmint tin 12ct,8.625,4.0
22000159335.0,ALTOIDS PEPPERMINT TIN 12CT,022000159335,Candy & Snacks,18,Snacks,$3.68 ,3.68,No,False,In Stock,altoids peppermint tin 12ct,8.625,4.0
22000159342.0,ALTOIDS WINTERGREEN TIN 12CT,022000159342,Candy & Snacks,18,Snacks,$3.68 ,3.68,No,False,In Stock,altoids wintergreen tin 12ct,8.625,4.0
22000282170.0,WRIG EXTRA WTRMELON MEGA 35PK 6CT/8C,022000282170,Candy & Snacks,18,Snacks,$5.05 ,5.05,No,False,In Stock,wrig extra wtrmelon mega 35pk 6ct 8c,8.625,5.49
22000282323.0,EXTRA REFRESH 40PC BTTL MXD MINT 6CT,022000282323,Candy & Snacks,18,Snacks,$5.06 ,5.06,No,False,In Stock,extra refresh 40pc bttl mxd mint 6ct,8.625,5.5
22000282385.0,STARBURST SWIRLERS KING SZ 2.96Z/10C,022000282385,Candy & Snacks,18,Snacks,$2.99 ,2.99,No,False,In Stock,starburst swirlers king sz 2 96z 10c,8.625,3.25
22000283818.0,WRIGLEY ORBIT MEGAPACK 30PC 6CT,022000283818,Candy & Snacks,18,Snacks,$3.68 ,3.68,No,False,In Stock,wrigley orbit megapack 30pc 6ct,8.625,4.0
22000284792.0,SKITTLES SMOOTHIE 1.76OZ 24CT,022000284792,Candy & Snacks,18,Snacks,$1.84 ,1.84,No,False,In Stock,skittles smoothie 1 76oz 24ct,8.625,2.0
22000285942.0,SKITTLES GUMMIES ORIGINAL 5.8OZ,022000285942,Candy & Snacks,18,Snacks,$3.45 ,3.45,No,False,In Stock,skittles gummies original 5 8oz,8.625,3.75
22000285966.0,SKITTLES GUMMI WILD BERRY PEG 5.8OZ,022000285966,Candy & Snacks,18,Snacks,$3.45 ,3.45,No,False,In Stock,skittles gummi wild berry peg 5 8oz,8.625,3.75
22000288844.0,STARBURST GUMMI AIRS ORIG 4.3OZ,022000288844,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummi airs orig 4 3oz,8.625,3.49
22000288912.0,STARBURST GUMMI AIRS SOUR TROP 4.3OZ,022000288912,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummi airs sour trop 4 3oz,8.625,3.49
22000289599.0,EXTRA REFRESH 40PC BTTL MXD FRUIT 6CT,022000289599,Candy & Snacks,18,Snacks,$5.06 ,5.06,No,False,In Stock,extra refresh 40pc bttl mxd fruit 6ct,8.625,5.5
22000289735.0,SKITTLES GUMMIES SOUR 5.8OZ,022000289735,Candy & Snacks,18,Snacks,$3.45 ,3.45,No,False,In Stock,skittles gummies sour 5 8oz,8.625,3.75
22000290090.0,HUBBA BUBBA SR BL RSBRY 5PC 18CT,022000290090,Candy & Snacks,18,Snacks,$1.84 ,1.84,No,False,In Stock,hubba bubba sr bl rsbry 5pc 18ct,8.625,2.0
22000292780.0,EXTRA PINK LEMON GUM,022000292780,Candy & Snacks,18,Snacks,$2.53 ,2.53,No,False,In Stock,extra pink lemon gum,8.625,2.75
22000292940.0,SKITTLES LITTLES MEGA TUBES 24CT,022000292940,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,skittles littles mega tubes 24ct,8.625,3.49
22000295644.0,HUBBA BUBBA S/F SKITTLES GUM BTTL 6CT,022000295644,Candy & Snacks,18,Snacks,$5.06 ,5.06,No,False,In Stock,hubba bubba s f skittles gum bttl 6ct,8.625,5.5
22000298577.0,STARBURST GUMMIES ALL-PINK SHARE SZ 15CT,022000298577,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummies all pink share sz 15ct,8.625,3.49
22000298829.0,STARBURST GUMMIES ORIG SHARE SZ 15CT,022000298829,Candy & Snacks,18,Snacks,$3.21 ,3.21,No,False,In Stock,starburst gummies orig share sz 15ct,8.625,3.49
22100000049.0,BLUE RIBBON 24Oz CN,022100000049,Health & Beauty,21,Beauty,$4.49 ,4.49,No,False,In Stock,blue ribbon 24oz cn,8.625,4.88
22110079806.0,HUBBA BUBBA TAPE ORIGINAL GUM 6CT,022110079806,Candy & Snacks,18,Snacks,$2.30 ,2.3,No,False,In Stock,hubba bubba tape original gum 6ct,8.625,2.5
22200940221.0,SPEED STICK MEN,022200940221,Home & Kitchen,32,Home,$4.99 ,4.99,No,False,In Stock,speed stick men,0.0,4.99
22600020158.0,MAGNUM XL LARGE CONDOM,022600020158,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,magnum xl large condom,0.0,5.99
22600228882.0,TROJAN MAGNUM BARESKIN 6/3PK,022600228882,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan magnum bareskin 6 3pk,0.0,5.99
22600642039.0,TROJAN MAGNUM LUBRICATED 6CT,022600642039,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan magnum lubricated 6ct,0.0,5.99
